first_name,last_name,address,date_of_birth
James,Gomez,614 Brittany Center Apt. 216,1932-09-14
Kevin,Alvarado,38560 Villanueva Falls Apt. 455,1966-01-06
Peter,Petersen,04043 Steve Fort Apt. 241,1980-03-13
Bruce,Waters,529 Schultz Heights,1935-04-05
Dustin,Frederick,2876 Richard Mountains,1909-07-05
Joan,Palmer,9757 Donald Motorway,1959-06-16
Bryan,Martinez,20859 James Rue,1944-03-29
William,Graves,07087 Hardy Lodge Apt. 509,1999-03-18
Dennis,Fitzgerald,58131 Kelly Light Apt. 945,1971-03-08
Adam,Diaz,6169 White Springs Apt. 374,2021-06-06
